woyoubushichanggede	我又不是唱歌的
laozuomengdahaizishizenmehuishi	老做梦打孩子是怎么回事
yihouyuenimihaoyuan	以后约你咪好远
henduorenyiqihuilaie	很多人一起回来哦
woshidiancaifangxuea	我十点才放学啊
nizheibihaizhenbujiandanzhuanga	你这逼还真不简单装啊
jiudianbucuohaiyoushafa	酒店不错还有沙发
zaiwonu:pengyouxinli	在我女朋友心里
doujiangmeiyoujiaotonglege	都讲没有交通了咯
wobushuangshinididiyizhi	我不爽是你弟弟一直
womenhuigenjunide	我们会根据你的
zaixuexiaoyizhengtianmeihema	在学校一整天没喝嘛
kanxiaageshenmekangzidezhaopian	看下阿哥什么康仔的照片
woxingqiliuxiawuhuihuiquchi	我星期六下午会回去吃
zhidaozheigeduoshaoma	知道这个多少吗
fanzhengwoxianzaizaigu	反正我现在在古
mingzaoliudianyaoqupaobu	明早六点要去跑步
womenshibushigaichulaile	我们是不是该出来了
yaoxiegenshangciyiyanga	要写跟上次一样啊
neigexiaoronghaokongbu	那个笑容好恐怖
doushichengshishuoweishenmebuqu	都是诚实说为甚么不去
heiqingdegenglihaie	黑青的更厉害哦
nidudoujibaiqianla	呢度都几百钱啦
niyanjiyebucuoa	你演技也不错阿
jinwanchidianlajishipinba	今晚吃点垃圾食品吧
jieshaoyigerenjiukeyihuodemeijin	介绍一个人就可以获得美金
jiwosheyoupaidegengyou	给我舍友拍的更有
womenlianggedouhaokan	我们两个都好看
neigedifangjiaolanghaofangshiba	那个地方叫朗豪坊是吧
nimenzhouliuhaishibache	你们周六还是把车
zuomebuyaohuilaidushu	做么不要回来读书
suoyinicaihuidadaoneimeshuang	所以你才会打到那么爽
nigenwojiangbaoqiangaomie	你跟我讲抱歉搞咩
woshangcesuomeiyoukandaoni	我上厕所没有看到你
duanlianqianbayifuchuanfanle	锻炼前把衣服穿反了
hahahahazhendema	哈哈哈哈真的吗
meitianshuijuedouzaifamengshuxue	每天睡觉都在发梦数学
neibushihenduogedewo	那不是很多个的我
zuomoyoubuyaoyuyinle	做莫又不要语音了
wokaiwanxiaobalela	我开玩笑罢了啦
yaoyongneitiaoquxiankan	要用那条曲线看
woxianzaihaibiweipangpang	我现在还比微胖胖
zaixinjiaposhibushiyoupangniao	在新加坡是不是又胖鸟
neishihouwoyoukandaoni	那时候我有看到你
kenengwobitananpengyoushuai	可能我比他男朋友帅
wobudongguahaoneixie	我不懂挂号那些
nizaiditiezhanchukou	你在地铁站出口
mingtianxuyaoyongdaozhangde	明天需要用到长的
qishidouhoulebaba	其实都吼了粑粑
woyiweinishizongle	我以为你失踪了
zaijiuyuechuyiqijianhuilai	在九月初一期间回来
taiwanbeibaolu:xingbuluoke	台湾背包旅行布洛克
haiyiweiniyaoxiefasha	还以为你要写发傻
womaiqingmaodesuoyidetiaomao	我买轻毛的所以得挑毛
womaiqingmaodesuoyidetiaomao	我买轻毛的所以得挑毛
naiyoujiangnaiyouyigexiangfa	妳又讲妳有一个想法
hahahahaiyiweiniyoule	哈哈哈还以为你有了
woyidingyaokandeduiwushi	我一定要看的队伍是
suoyiwojintianyehencongming	所以我今天也很聪明
nihenipengyouqingzhuxianba	你和你朋友庆祝先吧
wentishiwobudongyaosongshenme	问题是我不懂要送什么
nizhongmezhidaotamenweiwoxiele	你肿么知道他们为我写了
fanzhengzheigeyoubushizhende	反正这个又不是真的
dengxiawokenenghuiqu	等下我可能回去
yinweikexuemeiyouzuoma	因为科学没有做吗
wodeshuxuejiushibei	我的数学就是被
jiangwoyequtajiage	将我也去他家咯
nidangchushuodeneixiehua	你当初说的那些话
suoyiniyaokuaidianliechusuoyoumingdan	所以你要快点列出所有名单
nidiyihaishidierlai	你第一还是第二来
woyingwenguohouyaoyong	我英文过后要用
niwuhaotongwojiangye	你唔好同我讲野
qingwennishizainalizhaodaode	请问你是在哪里找到的
nimamazenmehuishi	你妈妈怎么回事
neiwogenmamashuoliudianzhong	那我跟妈妈说六点钟
juhuawulundiandouwuhuiwuai	佢话无论点都唔会唔爱
jurendaoniniwuxiwen	佢认到你呢唔洗问
gannixiangwojiangdianjiexian	咁你想我讲点解先
duodianrenbijiaohaowan	多点人比较好玩
yuanlaiwoshangnianjinriqubeijing	原来我上年今日去北京
huashuohaoxiangnafashimeiyongei	话说好像拿法师没用诶
wodebaobeilaopopo	我的宝贝老婆婆
huinongdaolaogongdezhaopianmeiwande	会弄到老公的照片没完的
zuomiewutingwodianhua	做咩唔听我电话
keshiguojitianjiuhuibeizhuale	可是过几天就会被抓了
xiexiexiangbadezhufu	谢谢翔爸的祝福
jieguotingdaodianhuayoushengyin	结果听到电话有声音
buguokaizheqixiaodechebutaipeie	不过开着汽校的车不太配哦
woyeshiledajita	我也试了打给她
nixianzaimeichuanyifuma	你现在没穿衣服吗
wogangcaijiguonindianhua	我刚才给过您电话
dazhonghuaqukankanjiuzao	大中华去看看酒糟
nishengqileduibudui	你生气了对不对
jiushiyaoniaishangwo	就是要你爱上我
womendegongtongdiren	我们的共同敌人
wodouweinigandaokaixin	我都为你感到开心
dainichibianquanshijie	带你吃遍全世界
qilailejiuquchifanla	起来了就去吃饭啦
ganwodoumaobiliwuni	咁我都冇俾礼物你
nizuowanzenmemeizhaowo	你昨晚怎么没找我
haishuoshenmebunongjiumeijihuinongle	还说甚么不弄就没机会弄了
guanjianwohaikanbuqilai	关键我还看不起来
xianyongnishouzhimomonixiamian	先用你手指摸摸你下面
zaixuexiaohaikeyizheiyangchia	在学校还可以这样吃啊
jinwannihaihuizhume	今晚你还会煮么
wonengbunengsuanshishule	我能不能算师叔了
tashuowoyongsibita	她说我用死比她
nimaxianzaihenizhuyiqime	你妈现在和你住一起么
chenggelichangchahaoyuan	成个立场差好远
caisekeyexingeqin	彩色客也行哦亲
tashuokeyibapiaojibierenle	他说可以把票给别人了
woshuoletayoubuhuile	我说了她又不回了
neizisehefenhongse	那紫色和粉红色
neizisehefenhongse	那紫色和粉红色
ranhouwoyezhuanglexia	然后我也撞了下
woshuohaokanjiuhaokan	我说好看就好看
zhaoyitiannizaofanggongwomencaikanxi	找一天你早放工我们才看戏
tabudongkushenmede	她不懂哭什么的
nibuyaoshuijueyixiae	你不要睡觉一下哦
nizaizheibiandaiduojiu	你在这边待多久
ninayigepengyoujiangwobuxihuanni	你哪一个朋友讲我不喜欢你
woyiweikeyinalaimaide	我以为可以拿来卖的
yundongyundongzaishuijue	运动运动在睡觉
yundongyundongzaishuijue	运动运动在睡觉
yundongyundongzaishuijue	运动运动在睡觉
wozuotianwushuiyezuowanlesanzhang	我昨天午睡也做完了三张
zhehuodebushinijiaba	着火的不是你家吧
chizhemiantiaotingzheshehuiyao	吃着面条听着社会摇
meigebisaidouyouyige	每个比赛都有一个
kaochegenxuecheyongdechebuyiyanga	考车跟学车用的车不一样啊
woganjuewopangledianle	我感觉我胖了点了
nibushizaijianghuama	你不是在讲话吗
wodaoneiranhounisongwoqu	我到那然后你送我去
neidengyixiawoxiangyixia	那等一下我想一下
nikeyixianyongditukanyixia	你可以先用地图看一下
xiexieshushumamagege	谢谢叔叔妈妈哥哥
buyongneimexinkuni	不用那么辛苦你
neiyinggaishitaxianbuyingni	那应该是她先不应你
laiziyimeichitushaonu:dezhuanfa	来自一枚吃土少女的转发
renjiajiqianwokanrenjiabobo	人家给钱我看人家波波
jiushiyaojikuaidia	就是要寄快递啊
keyichidedongxila	可以吃的东西啦
zhenxinhuajiushiwenwenti	真心话就是问问题
duiazheigejiushizhaoxian	对啊这个就是肇贤
jiuzhidaoahuixiangkanwo	就知道阿慧想看我
kenengniyehuidaole	可能你也回到了
nimenweishenmeyaozailianggequnliliao	你们为什么要在两个群里聊
haibukuaidianxiexiewo	还不快点谢谢我
gentajiangdehuayimoyiyang	跟她讲的话一摸一样
taxianzaiyouhuiwole	他现在又回我了
tamendoushuonirangtamenqu	她们都说你让她们去
henxiangkanchengbaoleguohoudezhaopiane	很想看撑爆了过后的照片哦
xingqitianwozuofuluo	星期天我做芙洛
wobaobeizaiwoxinzhongshiwujiade	我宝贝在我心中是无价的
shuobudinggennibahenda	说不定跟你爸很搭
butongtiehuayinggaibuyiyangjiaqian	不同铁花应该不一样价钱
womayouhuawoyaofenpeihaoshijian	我妈又话我要分配好时间
qingxingjiejiarimeilai	庆幸节假日没来
wohenibuzhishixiangdangpengyou	我和你不只是想当朋友
buyongshuijiuyoujingshende	不用睡就有精神的
buyongshuijiuyoujingshende	不用睡就有精神的
xiwangbushiwohaidaotade	希望不是我害到他的
nanyoushenglixuqiuyezhengchangba	男有生理需求也正常吧
buyaomianqiangshangxianahundan	不要勉强上线啊混蛋
daoshihouniyelaizhang	到时候你也来张
keyibangwofuyinhuayuneizhangma	可以帮我复印华语那张吗
weishenmenimenyaozheiyangshuole	为什么你们要这样说叻
dengwobanichuidaoyuanyuanqu	等我把你吹到远远去
wohaishengxiayibeijiumaiguangla	我还剩下一杯就卖光啦
suibianlaihuidedengdao	随便来回得等到
yidingshiyaoqujiangwodedongxilede	一定是要去讲我的东西了的
bushihepengyoujuju	不是和朋友聚聚
buranwoyigerendao	不然我一个人到
xinyongedumuqianmorenshi	信用额度目前默认是
laopobuyaoquwenla	老婆不要去问啦
jiulongjiangjunaofukanghuayuandijiuzuo	九龙将军澳富康花园第九座
nishiwangjishuijueshima	你是忘记睡觉是吗
buguonixinkuzhuandeqianlaimaidee	不过你辛苦赚的钱来买的哦
wohejiejiedediyici	我和姐姐的第一次
zijianduiwojianghuahenwenrou	子健对我讲话很温柔
shenmeyangdechabuduo	什么样的差不多
niyaojixuzhuangshabila	你要继续装傻逼啦
niyaojixuzhuangshabila	你要继续装傻逼啦
wozhenggexiatiandoushizheimeduguode	我整个夏天都是这么度过的
niyaobiandeyuelaiyuehaozhidaoma	你要变得越来越好知道吗
haoxiangyouhaojiumeijianneiyang	好像又好久没见那样
ranhoufenfuwoqudingwei	然后吩咐我去订位
haolaxuexiaozaiwennila	好啦学校再问你啦
wohaiyouyidaguozhou	我还有一大锅粥
laopolaogongchifange	老婆老公吃饭咯
jiezishiwogentayaoqian	杰仔是我跟他要钱
ninalikenengkandao	你哪里可能看到
haishixiangshuoniziji	还是想说你自己
guannizheiyangduowoquzuozhu	管你这样多我去做猪
guannizheiyangduowoquzuozhu	管你这样多我去做猪
nizijiqilaiwanlemeicidou	你自己起来晚了每次都
kewukeyihuawozhinidianxie	可唔可以话我知你点写
laoshumenliaodaobuhuishui	老叔们聊到不会睡
wohaizaikubidexuexi	我还在苦逼的学习
nikandaogonghuineilima	你看到公会那里吗
wogentayuexingqiliu	我跟他约星期六
nishibushiduiwobiaoshishenme	你是不是对我表示什么
buyaoshoushouqilaie	不要收收起来哦
wozaihewopengyouchiwanfanle	我在和我朋友吃晚饭了
zhengmingnibijiaoaita	证明你比较爱他
haiyousheishuonikeyibuyaoshuijuede	还有谁说你可以不要睡觉的
ninwanglejintiandaiweiyaohenitanlun	您忘了今天呆维要和你谈论
youzhaodaozheizhongganjue	又找到这种感觉
neinibujiushizhunu:you	那你不就是猪女友
jinwanwuhanhangbanyuji	今晚武汉航班预计
zhiyaoxinyoulingxiyidinghuizhidaode	只要心有灵犀一定会知道的
wodoushiyoujiagebiaoheyoujibiaode	我都是有价格表和邮寄表的
yinweinidebubangzhu	因为你的不帮助
shiawodingzuilihaibale	是啊我顶嘴厉害罢了
haiyouyigeshisuoyounanren	还有一个是所有男人
nixingledoubuzhaowo	你醒了都不找我
wojinbulenideshijie	我进不了你的世界
qishiwomenburenshi	其实我们不认识
nikendingmeibiwolihaige	你肯定没比我厉害咯
niluoshendeshihoubuhuikanzijima	你裸身的时候不会看自己嘛
ranhoutuokuzikandaonongdaoxuele	然后脱裤子看到弄到血了
wojintianmeiyoujinxuexiao	我今天没有进学校
laozidouhuaqianmaide	老子都花钱买的
chidianjiubuzhidaola	迟点就不知道啦
balidaogouwujingdian	巴利岛购物景点
xinbingyoumeiyoushuaige	新兵有没有帅哥
baobeizhunongnayigeqinglu:da	宝贝猪弄哪一个情侣哒
xizaoyejiuliangpingdongxi	洗澡也就两瓶东西
nituranzheiyangwenwo	你突然这样问我
wopawoyitianbabeibale	我怕我一天八杯罢了
wochengshounenglihaozheni	我承受能力好着呢
womenjijihuitagen	我们给机会他跟
dengnihuifugeyaobei	等你回复哥要被
haoxiangquzoumaobudeneizhong	好像去走猫步的那种
woxianzaijinquzuoweishang	我现在进去座位上
keyidehuanimenzaocan	可以的话你们早餐
nigejianjiqianyigeyue	你个间几钱一个月
neigemeiziwanyijujuewo	那个妹子万一拒绝我
huijiacaizhidaomaiguile	回家才知道买贵了
bieyingxiangwopaomeizi	别影响我泡妹子
tashiyigejiatingtaolun	它是一个家庭讨论
bushizhengquancongyezhea	不是证券从业者啊
woshouqiyizhibushizui	我手气一直不是最
nidedangaohaoguofen	你的蛋糕好过分
zenmecaisuanzhengshini	怎么才算正式呢
baobeimamahuibuhuimabaobei	宝贝妈妈会不会骂宝贝
duijiaojingguohaoduonu:zi	对脚靓过好多女仔
nilaiwojiajiuzuonichi	你来我家就做你吃
haolataihuangdanleloudonghenduo	好啦太荒诞了漏洞很多
heimaodejiaosudushidande	黑猫的角速度是蛋的
mingtiandajiashaokaofa	明天大家烧烤伐
ainibushiliangsantian	爱你不是两三天
baitiandeshihoususheyou	白天的时候宿舍有
zhiyouheiseshihewoa	只有黑色适合我啊
taiwanjingchayoubushuai	台湾警察又不帅
huijinikantupianjiexiaoba	会给你看图片揭晓吧
xiamibuweibuhuishuo	虾米部位不会说
nijiuzaipangbianxiuxishuijueeryi	你就在旁边休息睡觉而已
neibiantingchejibenbukeneng	那边停车基本不可能
niyiweiwoxiangque	你以为我想去哦
neidengniyoulezaifa	那等你有了再发
zhishaowoyexiexieleta	至少我也谢谢了他
hezuihoubuyaoqiangjianwo	喝醉后不要强奸我
jiangdaowohaohaixiua	讲到我好害羞啊
meibanfamingtianjiuyaonajinile	没办法明天就要拿给你了
woneigedianfanguoxianzai	我那个电饭锅现在
jiaqishuilanjuedaoxianzaime	假期睡懒觉到现在么
woyigexingqipangle	我一个星期胖了
buranwojiuyaoquda	不然我就要去搭
keshinishigongsiwan	可是你是公司玩
nihaimeihuijiawojiushuijuele	你还没回家我就睡觉了
wubirenchaoyijinghao	唔比人炒已经好
mingtianyouyongwomenyeshi	明天游泳我们也是
jiangziwoyemeiyoubanfadege	酱紫我也没有办法的咯
mamajintiangenbabatubuqulewa	妈妈今天跟爸爸徒步去了哇
yiyougongrenmashangshengqiang	一有工人马上升墙
womenmingtianzaitaolunba	我们明天再讨论吧
guohounengbangwozhaogongzuoma	过后能帮我找工作吗
paniquanshijiezhidaonishuyuanwo	怕你全世界知道你疏远我
mingfuqishidecaxiezi	名副其实的擦鞋仔
babazenmehaibushui	爸爸怎么还不睡
ganxienizheixieniandetiliang	感谢你这些年的体谅
wokeshidamingangangdedidiei	我可是大名昂昂的迪迪诶
ganjuechaojifuyanren	感觉炒鸡敷衍人
womeishuhaimeizuoa	我美术还没做啊
nididiweishenmewen	你弟弟为什么问
weishenmebunengshuinijia	为什么不能睡你家
jinwanzenmeguoqua	今晚怎么过去啊
shibushizhenxindee	是不是真心的哦
yikuaiqianlimianyoujifen	一块钱里面有几分
haihaowozheiliangtiandoubuxuyaochuqu	还好我这两天都不需要出去
woyibantinggeshuijue	我一般听歌睡觉
wozuotianwanshanghuilaihou	我昨天晚上回来后
feiyuhanzenmegennibiaobaide	费雨涵怎么跟你表白的
baobeicaibuhuikanwoshouji	宝贝才不会看我手机
niyongnizijideqianji	你用你自己的钱给
zheizhouliushibushichaoshibukaimen	这周六是不是超市不开门
neixianzaibeidandejiageshizenyang	那现在倍弹的价格是怎样
xiaojiumalaigedabao	小舅妈来个大包
wohaibuzhidaomingtianyaobuyaoqu	我还不知道明天要不要去
youmeiyoudekanwumeiniang	有没有得看武媚娘
womingtianjidajiadaidian	我明天给大家带点
youmeiyoujiaonibuyao	有没有叫你不要
wozaijiachuandebijiao	我在家穿得比较
wozainixinzhonggudu	我在你心中孤独
zuochulaicaishiwangdao	做出来才是王道
nihuidadedaanyebudui	你回答的答案也不对
nipangbianzheimeiniuyoudianyanshu	你旁边这美妞有点眼熟
zenmekenengmeirenyao	怎么可能没人要
xianghuiqudouhaoxiaoe	想回去都好笑哦
zhijiejiangwobuxihuannile	直接讲我不喜欢你了
zenmekeyizheiyangshuobanzhangdada	怎么可以这样说班长大大
fenghuilianquanqiufensihouyuanhui	锋辉恋全球粉丝后援会
jianghuahaohaojiangbunengma	讲话好好讲不能吗
zuidajieduanhaoxiangshi	最大阶段好像是
mingtianyaopeitamenba	明天要陪他们吧
yidingshitaqiaoqiaofade	一定是她悄悄发的
sheishiwanglingdiyia	谁是亡灵第一啊
nishengbingwonongbaizhoujini	你生病我弄白粥给你
zuotianliaotianliaotaiwanle	昨天聊天聊太晚了
ganmazongshizheigeqianzoudebiaoqing	干嘛总是这个欠揍的表情
buguowomenshimaideyongtaichengde	不过我们是买的永泰城的
cishengdoubuhuiyouaile	此生都不会有爱了
buxihuanmailaiganma	不喜欢买来干嘛
yebukanshineigemaide	也不看是那个买的
zhunbeihaocailimeia	准备好彩礼没啊
xuchunjiubuyiyangle	许纯就不一样了
nitamayouqiandaoyidingchengdule	你他妈有钱到一定程度了
meishimeishinimenliao	没事没事你们聊
wozuixihuanshualiuyan	我最喜欢刷留言
meichuanyifudeyifuyeyao	没穿衣服的衣服也要
jintianashuiyefangjia	今天阿水也放假
zaihunnannu:zhixingaidiaocha	再婚男女之性爱调查
nizhidaowozaishuoshenme	你知道我在说什么
zheidangaotaiyoucaile	这蛋糕太有才了
rangnixiegexiaoduanwenjieshaoziji	让你写个小短文介绍自己
daidaiwoduochizhouheiya	戴代我多吃周黑鸭
nibuhuizaishouhuiquba	你不会再收回去吧
nimenzenmerenshide	你们怎么认识的
woxiangyinggaibucuode	我想应该不错的
wojiushilaifageweibo	我就是来发个微博
wozhudedifangyouyige	我住的地方有一个
laoleiyouquxiangqindeyangzi	老雷又去相亲的样子
shuaiyixiajuranbukale	摔一下居然不卡了
congdadaoxiaowenduoshaowenti	从大到小问多少问题
meiyouniyaojiwoshima	没有你要给我是吗
nibanimabuyaonile	你爸你妈不要你了
fangjialezijijingranbuhaiqilai	放假了自己竟然不嗨起来
jinhuashiguomaobinguan	金华市国贸宾馆
nishuowoxianzaitoutou	你说我现在偷偷
wozheixinhaobuhaole	我这信号不好了
nu:haizidiuyehenshuai	女孩子丢也很帅
ganjueniyaoqiangjianwo	感觉你要强奸我
ganmabudaiwoyiqiqu	干嘛不带我一起去
wozuozainimenchexiang	我坐在你们车厢
haishizheimeshademeimei	还是这么傻的妹妹
guohongruzheigeshabigenwoshuogaoqing	郭宏汝这个傻逼跟我说高清
nihoulongjiushineimexiao	你喉咙就是那么小
niriridougangeyang	你日日都甘葛样
tashuodedejingshufu	他说的得劲舒服
wohuigennishuozongcaihaoxiangyuewo	我会跟你说总裁好像约我
niyouwoneimeduozhaopian	你有我那么多照片
woshuoweishalaopozongshijiaolaogong	我说为啥老婆总是叫老公
aqiwoyeshizuile	阿棋我也是醉了
nifaguolaiwojiukanwanle	你发过来我就看完了
gangtidechedoufengma	刚提的车兜风吗
niganniniangdedianhua	你干你娘的电话
danximaozhanyoudeshizhan	但系冇站有的士站
angwoyeyaoshuijuele	昂我也要睡觉了
buzaoqunlibunengfazheixieme	不造群里不能发这些么
wohaiyiweiniqushile	我还以为你去试了
nimenxianzaizaijiangjia	你们现在在江家
haoxiangnizaijiaoyiyang	好像你在叫一样
woyebuzhihuiyouzheishide	我也不知会有这事的
xianzainagejidinghehaibuzhichi	现在哪个机顶盒还不支持
shoubiaomeigeyuemaidao	手表每个月卖到
jieguoqingleyiwanshangyemeiqingwan	结果清了一晚上也没清完
ganjuezheigetinghoude	感觉这个挺厚的
aiyajuedewohaofan	哎呀觉得我好烦
wozaibiedequnbushuide	我在别的群不水的
kenengdajiadouzaishuijue	可能大家都在睡觉
zuidadelaobanlaile	最大的老板来了
mingtianayikanniuyisheng	明天阿姨看牛医生
huoxialaihaishiqiangzhi	活下来还是强制
nanoucansaizhetufadebugouduoa	南欧参赛者图发得不够多啊
qishiwomenshimeiyouzuo	其实我们是没有做
ranhoutahaibangwomenmianfei	然后他还帮我们免费
nizhidaoguangyuanpangbian	你知道广元旁边
liuyuzuozhezuozhezijishuaineile	刘雨坐着坐着自己摔那了
liuyuzuozhezuozhezijishuaineile	刘雨坐着坐着自己摔那了
meiguozheibianzonggongshiduoshaoa	美国这边总共是多少啊
haoxiangdouweizheinande	好像窦唯这男的
nijiafanyingchidundian	你家反应迟钝点
kandaolehewoshuoe	看到了和我说哦
nikeyijiwozhidaonide	你可以给我知道你的
woliudianbandaixiaohaiqu	我六点半带小孩去
qishiwoyaoshuijuela	其实我要睡觉啦
wokeyirangjinide	我可以让给你的
nishibushijiaowofangqi	你是不是叫我放弃
youshenmeshilaizhaowolaben	有什么事来找我啦笨
nizaineilihaishizuogong	你在那里还是做工
shumabaobeihetidazuozhan	数码宝贝合体大作战
zheishitietubushibiaoqing	这是贴图不是表情
zuobianyanhaoxiangbeirendale	左边眼好像被人打了
beinihedaoxianzaiwobuganzuoneibian	被你吓到现在我不敢坐那边
nanchangdejingfengqishibucuo	南昌的景峰其实不错
zuihouyizhangtulu:sehongsede	最后一张图绿色红色的
neimeqianbushijinizhuanwange	那么钱不是给你赚完咯
nihaiyoushoushenmechouzhaome	你还有收什么丑照么
zheisuanchengzanhaishianweime	这算称赞还是安慰么
yinweiwopatayouguizheyan	因为我怕她又鬼遮眼
nijiadixiazhenganjing	你家地下真干净
yongxinganshouxiagedeshuaiqi	用心感受下哥的帅气
wuliaozuodeshidanyemanbucuo	无聊做的事但也蛮不错
chitaibaozhanzhedengbashihenxinku	吃太饱站着等巴士很辛苦
womingtianchinishibushigenzhechixian	我明天吃你是不是跟着吃先
biexianwotaiduoshigaosutamen	别嫌我太多事告诉他们
suoyiniyujitayihouhuimeipengyou	所以你预计他以后会没朋友
nimingtianzhunbeijidianchufade	你明天准备几点出发的
yuanzeshangshinixiande	原则上是你先的
youkongdainiduochuquwanwan	有空带你多出去玩玩
chuleneigelaobanniang	除了那个老板娘
ruguomangdehuajiuxianmangge	如果忙的话就先忙咯
qishibenshenwohuaguowucanjiabianlun	其实本身我话过唔参加辩论
zhongguorenqumalaixiya	中国人去马来西亚
womenhuxiangxiangduifangmo	我们互相想对方莫
jianghaorenzainiqua	将好人载你去啊
wodemimijidizuowen	我的秘密基地作文
shijiexianzaishimaimaiwana	世界现在是麦麦玩阿
wohaibuzhidaoshishenmeyisi	我还不知道是什么意思
bushihenikaiwanxiaoma	不是和你开玩笑吗
taxihuanwoyoukenengma	他喜欢我有可能吗
jintianshiguoguohexiaobaoxuexiaode	今天是果果和小宝学校的
mingtianniachuqua	明天你啊出去啊
yinggaibuhuizhuandela	应该不会转的啦
woshuonizenmemeiqujingxuan	我说你怎么没去竞选
mingtianfangxueguohouqu	明天放学过后去
meidiannikeyixiazhanxiachequchonghui	没电你可以下站下车去冲会
yaorangwobukaixinma	要让我不开心吗
gandejidehuakeyi	赶得及的话可以
beiyixiebuliangfenzihai	被一些不良分子还
guojitianjiuyaoneigele	过几天就要那个了
buguowochiyidiandianjiubaole	不过我吃一点点就饱了
shichulichulitianmaile	是处理处理填埋了
bangwozanxiapengyouquandiyitiaoma	帮我赞下朋友圈第一条吗
yaobiantuzaizileyouren	要变兔崽子了有人
yinweidengxiafanggongwohaiyaoqu	因为等下放工我还要去
juchaositiaowuganluo	佢超似跳舞咁啰
womeiyoudongxiyaojianga	我没有东西要讲啊
niganmayaoqingluokangjinlaia	你干嘛邀请罗康进来啊
haishiquanbunimaiba	还是全部你买吧
buranniyaoyizhijiminganfeideqian	不然你要一直给敏感费的钱
wojuedewoxuyaomomodeduanlianqu	我觉得我需要默默的锻炼去
suoyinibunengqishiwo	所以你不能歧视我
dengxiawopaigongkejini	等下我拍功课给你
nihuibisaizenmeziwojieshaoma	你会比赛怎么自我介绍吗
yinweibabajiaowoqilaima	因为爸爸叫我起来嘛
meiyoukaiwomenzaishitanghuozhezaiban	没有开我们在食堂或者在班
nizhidaoyishugequ	你知道艺术歌曲
zuihouyuanlaijubujidezuoyuezuowo	最后原来佢不记得左约左我
zhuzhuyaozenyangpeilie	猪猪要怎样陪咧
nimendengxiahaiyouhui	你们等下还有回
bangwoneitadeqianming	帮我那他的签名
wodengxiakenenghuiqu	我等下可能回去
daoledalianyiqikanxiaodianyingba	到了大连一起看小电影吧
buranhaiyoudisanderenma	不然还有第三的人吗
woxiagexingqihaikeyibu	我下个星期还可以不
shibushibuaiwole	是不是不爱我了
jiaowojingwobushijingnone	叫我静我不是静囖
wotouyicitingdaoshuobuxingdeei	我头一次听到说不行的诶
hanguoshuangdaowudaojiaoxue	韩国双刀舞蹈教学
fanyangjiangjidekuaidi	返阳江记得快递
wodengnidesheyingdasaizhaopianjiuhao	我等你的摄影大赛照片就好
yizhengtianzaizuozheige	一整天在做这个
buchongdehuahuihenbushufude	不冲的话会很不舒服的
qihouwoxianzaizaidu	气候我现在在读
suiranwozhidaonaiyemeidanxinguo	虽然我知道妳也没担心过
malaixiyaligongdaxue	马来西亚理工大学
wodaoshijianguobushao	我倒是见过不少
jiejiedalaiwenwoyaochi	姐姐打来问我要吃
danshinizhendehaoleng	但是你真的好冷
zhendexiacibuyongbaogaoa	真的下次不用报告啊
womenmingtianzhengtianhuizai	我们明天整天会在
zanmenjiangsudehenduoya	咱们江苏的很多呀
wozhishixianganjingdehetazuoyihui	我只是想安静的和他坐一会
siguinideshengyinhaoherenre	死鬼你的声音好吓人喏
wogenwogedajiajiaonilaikannei	我跟我哥打架叫你来看那
liuzhihongshijiunianjibushibanianji	刘志宏是九年级不是八年级
nishibushimingtianqu	你是不是明天去
xihuanbuyidingfeiyaotanlianai	喜欢不一定非要谈恋爱
wojintianyizhitaitouditouwang	我今天一直抬头低头望
bujiushimeitingguozheishougema	不就是没听过这首歌吗
haiyouyitianduojiusijizhule	还有一天多就四级猪了
fanzhengwodiyijiedekong	反正我第一节得空
yinggaishibuxiangrangwomenzhidao	应该是不想让我们知道
wohaidezuoshilisuodian	我还得做事利索点
wokannimeicigaichele	我看你每次改车勒
keshibuzhidaohaobuhaokange	可是不知道好不好看咯
nibushiwenwenhaomie	你不是问文豪咩
niyoubushimeixifu	你又不是没媳妇
xiangpenpendegoushiwei	香喷喷的狗屎胃
piguhainengbeishenme	屁股还能被甚么
zenmehenichaojiade	怎么和你吵架的
chabuduohuidaogugudianlu	差不多回到姑姑店噜
yebuyaozaiwennibuxilaoshi	也不要再问你补习老师
ruguoniyouquwopani	如果你有去我怕你
nijuedenishaoshaoweiqua	你觉得你少少委屈啊
nizenmezheimecongminga	你怎么这么聪明啊
nidijinhuadaoligeguanxi	你地进化到哩个关系
xiuxikanlewojiuyizhikanle	休息看了我就一直看了
qingnibeihaobiyuntao	请你备好避孕套
xingqiliuyaokuailecheng	星期六要快乐城
suoyijiuyaoquhuanneige	所以就要去换那个
kanwanlebumingbaishenmeyisilie	看完了不明白甚么意思咧
yueshifengyinyoucaihuafengmirunchungao	悦诗风吟油菜花蜂蜜润唇膏
laomabukenwojiache	老妈不肯我驾车
feifeihuahuabaibaihenhaonie	肥肥滑滑白白很好捏
neigezuogongyigelibai	那个做工一个礼拜
zuzhangnixiangwuxiangjixuzuozuzhang	组长你想唔想继续做组长
nihaowoshihanguonande	你好我是韩国男的
yinweiwodianhuayaobeimeishou	因为我电话要被没收
wozhenxibujidezuo	我真系不记得左
ruguoyidingwugoujiuquduxiayuyan	如果一定唔够就去读下语言
yixingqiduoshaofenzhong	一星期多少分钟
